Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
3,Finished,11 November 2021  8:02 AM,11 November 2021  8:38 AM,36 mins 16 secs,2.56,6.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,6.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
4,Finished,11 November 2021  8:08 AM,11 November 2021  8:44 AM,36 mins 16 secs,32.0,6.67,-1.33,-1.67,-1.67,6.67,6.67,-1.67,6.67,-1.67,6.67,0.00,0.00,0.00,0.00,6.67
5,Finished,11 November 2021  8:08 AM,11 November 2021  8:44 AM,35 mins 53 secs,15.89,-1.67,-1.33,6.67,-1.67,-1.11,-1.67,6.67,-1.67,-1.67,0.00,6.67,0.00,0.00,0.00,6.67
6,Finished,11 November 2021  8:08 AM,11 November 2021  8:53 AM,45 mins,15.89,6.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,6.67,-1.67,6.67,-,0.00,-,-,6.67
7,Finished,11 November 2021  8:10 AM,11 November 2021  8:43 AM,33 mins 7 secs,2.56,6.67,-1.33,-1.67,6.67,-1.11,-1.67,-1.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
8,Finished,11 November 2021  8:10 AM,11 November 2021  8:55 AM,44 mins 42 secs,17.56,6.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67
9,Finished,11 November 2021  8:10 AM,11 November 2021  8:55 AM,45 mins,25.89,6.67,-1.33,6.67,-1.67,-1.11,-1.67,6.67,6.67,-1.67,0.00,0.00,-,0.00,0.00,6.67
10,Finished,11 November 2021  8:11 AM,11 November 2021  8:55 AM,44 mins 38 secs,7.56,6.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,-1.67,-1.67,0.00,0.00,0.00,6.67,0.00,6.67
11,Finished,11 November 2021  8:12 AM,11 November 2021  8:57 AM,45 mins,25.33,-1.67,-1.33,6.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,6.67
12,Finished,11 November 2021  8:14 AM,11 November 2021  8:58 AM,44 mins 23 secs,9.22,6.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,6.67,-1.67,0.00,0.00,-,6.67,0.00,0.00
13,Finished,11 November 2021  8:14 AM,11 November 2021  8:59 AM,45 mins,43.67,6.67,-1.33,6.67,6.67,6.67,-1.67,6.67,6.67,-,-,-,0.00,-,0.00,6.67
14,Finished,11 November 2021  8:20 AM,11 November 2021  9:03 AM,42 mins 46 secs,-5.78,-1.67,-1.33,-1.67,-1.67,-1.11,-1.67,6.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
15,Finished,11 November 2021  8:22 AM,11 November 2021  9:07 AM,45 mins,63.33,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67,0.00,-,0.00,6.67,6.67
16,Finished,11 November 2021  8:25 AM,11 November 2021  8:52 AM,26 mins 27 secs,19.22,6.67,-1.33,-1.67,6.67,-1.11,6.67,-1.67,-1.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
17,Finished,11 November 2021  8:31 AM,11 November 2021  9:16 AM,45 mins 1 sec,2.0,-1.67,-1.33,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,0.00,-,0.00,0.00,0.00,0.00
18,Finished,11 November 2021  8:34 AM,11 November 2021  9:15 AM,40 mins 45 secs,10.89,6.67,-1.33,6.67,-1.67,-1.11,-1.67,-1.67,6.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
19,Finished,11 November 2021  10:03 AM,11 November 2021  10:48 AM,44 mins 56 secs,25.33,6.67,-1.33,-1.67,-1.67,6.67,-1.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67
20,Finished,11 November 2021  10:04 AM,11 November 2021  10:49 AM,45 mins,63.67,6.67,-1.33,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,0.00,6.67,-,6.67,0.00,6.67
21,Finished,11 November 2021  10:09 AM,11 November 2021  10:54 AM,45 mins,5.89,-,-1.33,-1.67,-,-1.11,-,-1.67,6.67,-1.67,-,-,0.00,0.00,6.67,-
22,Finished,11 November 2021  10:23 AM,11 November 2021  11:08 AM,44 mins 54 secs,55.33,6.67,-1.33,6.67,-1.67,6.67,-1.67,6.67,6.67,6.67,6.67,0.00,0.00,0.00,6.67,6.67
23,Finished,11 November 2021  10:27 AM,11 November 2021  11:12 AM,45 mins,40.33,6.67,-1.33,-1.67,-1.67,6.67,-1.67,6.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67
24,Finished,11 November 2021  10:35 AM,11 November 2021  11:20 AM,45 mins,28.67,6.67,-1.33,6.67,-1.67,6.67,-1.67,-,6.67,-,0.00,6.67,-,0.00,-,0.00
25,Finished,11 November 2021  11:09 AM,11 November 2021  11:53 AM,43 mins 33 secs,68.33,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,-1.67,6.67,0.00,6.67,6.67,6.67,6.67
26,Finished,11 November 2021  11:09 AM,11 November 2021  11:50 AM,40 mins 47 secs,76.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,6.67,6.67,6.67,6.67
27,Finished,11 November 2021  1:00 PM,11 November 2021  1:45 PM,45 mins 1 sec,71.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,0.00,0.00,6.67,0.00,6.67
28,Finished,11 November 2021  1:00 PM,11 November 2021  1:45 PM,45 mins,25.0,6.67,6.67,-1.67,-1.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,-,0.00,0.00,0.00,0.00
29,Finished,11 November 2021  1:00 PM,11 November 2021  1:36 PM,35 mins 44 secs,-14.11,-1.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
30,Finished,11 November 2021  1:01 PM,11 November 2021  1:46 PM,45 mins,19.22,-1.67,-1.33,6.67,6.67,-1.11,-1.67,6.67,6.67,-1.67,-,0.00,0.00,0.00,0.00,0.00
31,Finished,11 November 2021  1:02 PM,11 November 2021  1:47 PM,45 mins,38.33,-,6.67,-,-,6.67,6.67,6.67,6.67,-1.67,6.67,-,-,0.00,0.00,-
32,Finished,11 November 2021  1:02 PM,11 November 2021  1:46 PM,44 mins 39 secs,40.33,6.67,-1.33,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,0.00,0.00,0.00,0.00,6.67
33,Finished,11 November 2021  1:02 PM,11 November 2021  1:47 PM,45 mins 1 sec,26.67,6.67,6.67,6.67,-1.67,-,-1.67,-1.67,6.67,-1.67,0.00,6.67,0.00,0.00,0.00,-
34,Finished,11 November 2021  1:02 PM,11 November 2021  1:47 PM,45 mins 1 sec,27.22,-1.67,6.67,6.67,6.67,-1.11,-1.67,-1.67,6.67,-,0.00,-,-,0.00,0.00,6.67
35,Finished,11 November 2021  1:02 PM,11 November 2021  1:47 PM,45 mins 1 sec,30.0,-,6.67,-,6.67,6.67,-1.67,6.67,6.67,-1.67,-,0.00,-,0.00,-,0.00
36,Finished,11 November 2021  1:02 PM,11 November 2021  1:46 PM,44 mins,42.0,6.67,-1.33,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,0.00,0.00,0.00,0.00,0.00,6.67
37,Finished,11 November 2021  1:02 PM,11 November 2021  1:47 PM,45 mins,27.0,6.67,-1.33,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
38,Finished,11 November 2021  1:03 PM,11 November 2021  1:48 PM,45 mins,80.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,-,0.00,6.67,6.67
39,Finished,11 November 2021  1:03 PM,11 November 2021  1:47 PM,43 mins 44 secs,25.0,6.67,6.67,-1.67,-1.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,0.00,0.00,0.00,0.00,0.00
40,Finished,11 November 2021  1:03 PM,11 November 2021  1:48 PM,44 mins 59 secs,19.22,6.67,-1.33,6.67,-1.67,-1.11,-1.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
